associated_gene,Sample,cyclo_count,noncyclo_count,Cyclo_TPM,Noncyclo_TPM,total_cyclo,total_noncyclo,Cyclo_TPM_Rank,Noncyclo_TPM_Rank,Avg_Noncyclo_TPM,SD_Noncyclo_TPM,Noncyclo_Z_Score,test_statistic,z_score,rank_top_99_9_percentile,rank_top_99_5_percentile,rank_top_99_percentile,rank_top_98_percentile,rank_top_95_percentile,Phenotypes
DND1_HARS1,Patient30,12,0,7237.6357056694815,0.0,1658,1808,10.0,20.0,353.67582098260334,1026.2677360748162,-0.34462334588760757,0.0,0.0,,,,,,
DND1_HARS1,Patient31,10,0,10351.966873706004,0.0,966,1858,4.0,20.0,353.67582098260334,1026.2677360748162,-0.34462334588760757,0.0,0.0,,,,,,
DND1_HARS1,Patient4,8,0,5148.005148005148,0.0,1554,1450,14.0,20.0,353.67582098260334,1026.2677360748162,-0.34462334588760757,0.0,0.0,,,,,,
DND1_HARS1,Patient5,5,0,2508.7807325639737,0.0,1993,1596,27.0,20.0,353.67582098260334,1026.2677360748162,-0.34462334588760757,0.0,0.0,,,,,,
DND1_HARS1,Patient6,13,0,7584.597432905484,0.0,1714,1602,9.0,20.0,353.67582098260334,1026.2677360748162,-0.34462334588760757,0.0,0.0,,,,,,
DND1_HARS1,Patient7,8,0,4692.08211143695,0.0,1705,1726,19.0,20.0,353.67582098260334,1026.2677360748162,-0.34462334588760757,0.0,0.0,,,,,,
DND1_HARS1,Patient8,7,0,5937.234944868533,0.0,1179,1359,13.0,20.0,353.67582098260334,1026.2677360748162,-0.34462334588760757,0.0,0.0,,,,,,
DND1_HARS1,Patient9,19,1,12726.054922973877,580.7200929152149,1493,1722,3.0,6.0,353.67582098260334,1026.2677360748162,0.22123298234142258,-9.184181326239885,-2.076560539895553,,,,,,
HARS1,Patient1,573,643,301261.8296529968,374490.39021549217,1902,1717,16.0,12.0,343215.6738910269,93444.101746714,0.3346890359033825,-46.3538571596821,-0.12379505148998239,,,,,,"Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive"
HARS1,Patient10,561,402,257339.4495412844,288378.7661406025,2180,1394,21.0,25.0,343215.6738910269,93444.101746714,-0.5868418308419633,-39.41200185210029,0.3622525219645829,1.0,1.0,1.0,1.0,1.0,"Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive"
HARS1,Patient11,431,252,193620.8445642408,184345.28163862473,2226,1367,28.0,30.0,343215.6738910269,93444.101746714,-1.7001650107679362,-27.521613724994822,1.1936322819301757,1.0,1.0,1.0,1.0,1.0,"Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive"
HARS1,Patient12,462,520,230538.92215568863,290340.59184812946,2004,1791,23.0,23.0,343215.6738910269,93444.101746714,-0.5658471862271048,-39.592163423240976,0.34965556699819944,,,,,,"Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive"
HARS1,Patient13,488,548,195591.18236472944,247069.43192064922,2495,2218,27.0,28.0,343215.6738910269,93444.101746714,-1.0289171833551138,-35.30369797253486,0.6495064498218801,1.0,1.0,1.0,1.0,1.0,"Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive"
HARS1,Patient14,338,464,291128.3376399655,271662.7634660422,1161,1708,17.0,27.0,343215.6738910269,93444.101746714,-0.7657295547549194,-37.825249127386485,0.4731987825319788,,,,,,"Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive"
HARS1,Patient15,427,988,310319.7674418605,383987.56315584923,1376,2573,13.0,9.0,343215.6738910269,93444.101746714,0.4363238396291408,-47.01932853458392,-0.17032502393626708,,,,,,"Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive"
HARS1,Patient16,653,647,468100.358422939,509047.9937057435,1395,1271,2.0,1.0,343215.6738910269,93444.101746714,1.7746686705193588,-54.510850282251965,-0.6941346326533427,,,,,,"Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive"
HARS1,Patient17,401,543,411282.0512820513,442542.7872860636,975,1227,4.0,5.0,343215.6738910269,93444.101746714,1.0629575493621737,-50.79062247041176,-0.43401510819691486,,,,,,"Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive"
HARS1,Patient18,325,594,328947.36842105264,428262.4369142033,988,1387,10.0,6.0,343215.6738910269,93444.101746714,0.9101351656597962,-49.919032514726986,-0.37307325832628085,,,,,,"Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive"
HARS1,Patient19,419,582,340927.5834011391,375968.992248062,1229,1548,9.0,11.0,343215.6738910269,93444.101746714,0.350512421274218,-46.458565181076004,-0.13111627000382478,,,,,,"Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive"
HARS1,Patient2,145,71,113547.37666405638,65437.78801843317,1277,1085,31.0,31.0,343215.6738910269,93444.101746714,-2.9726636639466855,27.521613724994825,5.042272438661875,1.0,1.0,1.0,1.0,1.0,"Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive"
HARS1,Patient20,715,781,378707.6271186441,449367.08860759495,1888,1738,5.0,4.0,343215.6738910269,93444.101746714,1.135988390196077,-51.197254106879356,-0.4624469229288652,,,,,,"Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive"
HARS1,Patient21,446,461,314749.47071277344,347138.5542168675,1417,1328,12.0,18.0,343215.6738910269,93444.101746714,0.04198103735293877,-44.339916950629416,0.017691114216549224,1.0,1.0,1.0,1.0,1.0,"Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive"
HARS1,Patient22,394,738,322686.3226863227,350427.35042735044,1221,2106,11.0,16.0,343215.6738910269,93444.101746714,0.07717636963188168,-44.589602937430406,-0.00020483939873282224,,,,,,"Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive"
HARS1,Patient23,495,545,744360.9022556391,470232.9594477998,665,1159,1.0,3.0,343215.6738910269,93444.101746714,1.3592862811294508,-52.40331038504094,-0.5467747655799581,,,,,,"Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive"
HARS1,Patient24,475,805,448536.35505193577,484647.80252859724,1059,1661,3.0,2.0,343215.6738910269,93444.101746714,1.5135479499918665,-53.205633492409724,-0.6028734551507828,,,,,,"Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive"
HARS1,Patient25,354,738,258017.4927113703,379239.4655704008,1372,1946,20.0,10.0,343215.6738910269,93444.101746714,0.38551166960776884,-46.68871030174931,-0.1472080908205439,,,,,,"Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive"
HARS1,Patient26,221,547,130769.23076923077,372362.15112321306,1690,1469,30.0,13.0,343215.6738910269,93444.101746714,0.31191350430217096,-46.202416669421666,-0.1132062837310244,,,,,,"Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive"
HARS1,Patient27,324,534,353326.0632497274,371091.03544127865,917,1439,8.0,14.0,343215.6738910269,93444.101746714,0.29831055175434895,-46.11155365396054,-0.10685311248242453,,,,,,"Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive"
HARS1,Patient28,307,246,208418.194161575,204658.90183028285,1473,1202,26.0,29.0,343215.6738910269,93444.101746714,-1.4827770771055266,-30.299379542012723,0.9994100031024151,1.0,1.0,1.0,1.0,1.0,"Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive"
HARS1,Patient29,392,544,375478.92720306513,292945.6112008616,1044,1857,6.0,22.0,343215.6738910269,93444.101746714,-0.5379693501300425,-39.82951943437207,0.33305955840275975,,,,,,"Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive"
HARS1,Patient3,609,838,306492.19929542026,415056.9588905399,1987,2019,15.0,7.0,343215.6738910269,93444.101746714,0.7688156197835069,-49.08678415203782,-0.31488218528409995,,,,,,"Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive"
HARS1,Patient30,429,512,258745.47647768396,283185.8407079646,1658,1808,19.0,26.0,343215.6738910269,93444.101746714,-0.6424143638918679,-38.92913568696406,0.3960146794463329,1.0,1.0,1.0,1.0,1.0,"Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive"
HARS1,Patient31,127,537,131469.97929606625,289020.45209903124,966,1858,29.0,24.0,343215.6738910269,93444.101746714,-0.5799747739979899,-39.47106473009106,0.3581228265499391,1.0,1.0,1.0,1.0,1.0,"Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive"
HARS1,Patient4,420,453,270270.27027027024,312413.7931034483,1554,1450,18.0,20.0,343215.6738910269,93444.101746714,-0.3296289462021796,-41.539259315262214,0.2135139963417776,1.0,1.0,1.0,1.0,1.0,"Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive"
HARS1,Patient5,435,559,218263.92373306572,350250.62656641606,1993,1596,24.0,17.0,343215.6738910269,93444.101746714,0.07528514420800851,-44.57707927768383,0.0011086480740097606,,,,,,"Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive"
HARS1,Patient6,531,657,309801.6336056009,410112.3595505618,1714,1602,14.0,8.0,343215.6738910269,93444.101746714,0.715900569528321,-48.768328748990065,-0.29261568113676717,,,,,,"Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive"
HARS1,Patient7,431,605,252785.9237536657,350521.436848204,1705,1726,22.0,15.0,343215.6738910269,93444.101746714,0.07818324346441732,-44.596267373577994,-0.0009038086752769385,,,,,,"Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive"
HARS1,Patient8,257,410,217981.3401187447,301692.4208977189,1179,1359,25.0,21.0,343215.6738910269,93444.101746714,-0.44436462245481567,-40.61132083844117,0.2783957529232692,,,,,,"Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive"
HARS1,Patient9,547,592,366376.42330877425,343786.29500580725,1493,1722,7.0,19.0,343215.6738910269,93444.101746714,0.0061065503773269,-44.08206019305396,0.03572054159326289,,,,,,"Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive"
SRSF6,Patient1,191,95,100420.60988433227,55329.062317996504,1902,1717,19.0,19.0,86000.43620467439,64868.28681700796,-0.4728254034702839,-80.09120853889627,0.140858703411235,,,,,,
SRSF6,Patient10,345,248,158256.88073394497,177905.30846484934,2180,1394,16.0,3.0,86000.43620467439,64868.28681700796,1.41679203767839,-106.42294493560773,-0.7719858255440855,,,,,,
SRSF6,Patient11,1145,299,514375.5615453728,218727.139722019,2226,1367,1.0,2.0,86000.43620467439,64868.28681700796,2.0460954039338786,-111.17568188795865,-0.9278870183425073,,,,,,
SRSF6,Patient12,348,223,173652.69461077845,124511.44611948633,2004,1791,13.0,10.0,86000.43620467439,64868.28681700796,0.5936800832038414,-98.21265340296921,-0.5026685340562856,,,,,,
SRSF6,Patient13,696,387,278957.91583166335,174481.51487826873,2495,2218,5.0,5.0,86000.43620467439,64868.28681700796,1.3640113376694771,-105.97584941945912,-0.7573200182500555,,,,,,
SRSF6,Patient14,121,44,104220.49956933677,25761.124121779856,1161,1708,18.0,24.0,86000.43620467439,64868.28681700796,-0.9286404040980509,-62.38461786710941,0.7216774261388889,1.0,1.0,1.0,1.0,1.0,
SRSF6,Patient15,324,294,235465.11627906974,114263.505635445,1376,2573,8.0,11.0,86000.43620467439,64868.28681700796,0.43569933503100094,-96.23653819920003,-0.4378472067950908,,,,,,
SRSF6,Patient16,93,54,66666.66666666667,42486.231313926044,1395,1271,22.0,22.0,86000.43620467439,64868.28681700796,-0.6708086034937377,-73.97337803391744,0.34153824503682195,,,,,,
SRSF6,Patient17,56,25,57435.89743589744,20374.89812550937,975,1227,25.0,27.0,86000.43620467439,64868.28681700796,-1.0116736744457775,-56.9515104801113,0.8998964041145046,1.0,1.0,1.0,1.0,1.0,
SRSF6,Patient18,157,82,158906.8825910931,59120.403749098776,988,1387,14.0,17.0,86000.43620467439,64868.28681700796,-0.4143786397720601,-81.62642093706809,0.09050004765699135,,,,,,
SRSF6,Patient19,74,31,60211.55410903173,20025.83979328165,1229,1548,23.0,28.0,86000.43620467439,64868.28681700796,-1.0170547065240931,-56.55125616885831,0.9130257073291894,1.0,1.0,1.0,1.0,1.0,
SRSF6,Patient2,88,62,68911.51135473767,57142.857142857145,1277,1085,21.0,18.0,86000.43620467439,64868.28681700796,-0.4448642083492024,-80.8383657295214,0.1163501521503119,,,,,,
SRSF6,Patient20,54,81,28601.694915254237,46605.29344073648,1888,1738,29.0,21.0,86000.43620467439,64868.28681700796,-0.6073097455937253,-76.11676172483693,0.2712301094532306,,,,,,
SRSF6,Patient21,334,122,235709.24488355682,91867.46987951807,1417,1328,7.0,12.0,86000.43620467439,64868.28681700796,0.09044533103509358,-91.21724506313261,-0.2732023306399365,,,,,,
SRSF6,Patient22,58,43,47502.047502047506,20417.853751187085,1221,2106,27.0,26.0,86000.43620467439,64868.28681700796,-1.011011476817545,-57.000291841185216,0.8982962582503426,1.0,1.0,1.0,1.0,1.0,
SRSF6,Patient23,27,18,40601.503759398496,15530.629853321829,665,1159,28.0,30.0,86000.43620467439,64868.28681700796,-1.0863522039690423,-50.66316348479008,1.1061692963720953,1.0,1.0,1.0,1.0,1.0,
SRSF6,Patient24,27,41,25495.7507082153,24683.925346177002,1059,1661,30.0,25.0,86000.43620467439,64868.28681700796,-0.9452463425073943,-61.39523565142353,0.7541315402851972,,,,,,
SRSF6,Patient25,341,346,248542.2740524781,177800.61664953752,1372,1946,6.0,4.0,86000.43620467439,64868.28681700796,1.4151781240011696,-106.40940176338877,-0.7715415769512476,,,,,,
SRSF6,Patient26,668,201,395266.2721893491,136827.7739959156,1690,1469,2.0,9.0,86000.43620467439,64868.28681700796,0.7835467881959645,-100.38283640816213,-0.5738557515464279,,,,,,
SRSF6,Patient27,92,45,100327.15376226827,31271.716469770672,917,1439,20.0,23.0,86000.43620467439,64868.28681700796,-0.8436899203040811,-66.87468605013376,0.5743924001638064,1.0,1.0,1.0,1.0,1.0,
SRSF6,Patient28,299,165,202987.10115410725,137271.2146422629,1473,1202,11.0,8.0,86000.43620467439,64868.28681700796,0.790382804192475,-100.45727985528575,-0.5762976754986586,,,,,,
SRSF6,Patient29,61,35,58429.11877394636,18847.60366182014,1044,1857,24.0,29.0,86000.43620467439,64868.28681700796,-1.035218221999464,-55.1467359015705,0.9590973471390504,1.0,1.0,1.0,1.0,1.0,
SRSF6,Patient3,371,172,186713.63865123302,85190.68845963349,1987,2019,12.0,13.0,86000.43620467439,64868.28681700796,-0.012482952530027298,-89.4812299993792,-0.21625686492858218,,,,,,
SRSF6,Patient30,496,127,299155.6091676719,70243.36283185841,1658,1808,4.0,14.0,86000.43620467439,64868.28681700796,-0.242908733157488,-85.04251719904855,-0.07065641891212902,,,,,,
SRSF6,Patient31,153,125,158385.09316770185,67276.64155005381,966,1858,15.0,16.0,86000.43620467439,64868.28681700796,-0.28864327352192914,-84.15061084659538,-0.03369919428203242,,,,,,
SRSF6,Patient4,197,100,126769.62676962678,68965.51724137932,1554,1450,17.0,15.0,86000.43620467439,64868.28681700796,-0.2626078134505111,-84.62012236587128,-0.05680085337495939,,,,,,
SRSF6,Patient5,682,354,342197.69192172604,221804.51127819548,1993,1596,3.0,1.0,86000.43620467439,64868.28681700796,2.093535712706911,-111.49712869098506,-0.9384312459140057,,,,,,
SRSF6,Patient6,89,77,51925.32088681447,48064.91885143571,1714,1602,26.0,20.0,86000.43620467439,64868.28681700796,-0.5848083742407744,-76.83107924843586,0.24779877818403387,,,,,,
SRSF6,Patient7,375,262,219941.34897360703,151796.06025492467,1705,1726,10.0,7.0,86000.43620467439,64868.28681700796,1.0142956948417385,-102.77135089648561,-0.6522047663307936,,,,,,
SRSF6,Patient8,262,217,222222.22222222222,159676.23252391466,1179,1359,9.0,6.0,86000.43620467439,64868.28681700796,1.1357752753217933,-103.93576481516965,-0.6904003409342083,,,,,,
SRSF6,Patient9,7,3,4688.546550569323,1742.1602787456445,1493,1722,31.0,31.0,86000.43620467439,64868.28681700796,-1.2989132295665449,50.66316348479008,4.429916306739797,1.0,1.0,1.0,1.0,1.0,
VTA1,Patient1,1133,979,595688.7486855942,570180.5474665114,1902,1717,7.0,15.0,564732.2394849113,91520.96827234412,0.05953070738267558,-8.175364512471509,-0.2534010472795325,,,,,,
VTA1,Patient10,1255,741,575688.0733944954,531563.8450502153,2180,1394,13.0,19.0,564732.2394849113,91520.96827234412,-0.3624130629387027,-6.2592364622288255,0.35847141743229516,,,,,,
VTA1,Patient11,640,810,287511.2309074573,592538.405267008,2226,1367,30.0,10.0,564732.2394849113,91520.96827234412,0.3038228977140222,-9.233177889166456,-0.49833044696702194,,,,,,
VTA1,Patient12,1180,1046,588822.3552894212,584031.2674483529,2004,1791,10.0,13.0,564732.2394849113,91520.96827234412,0.21087001512060444,-8.835461509832827,-0.4062419593545616,,,,,,
VTA1,Patient13,1283,1281,514228.4569138276,577547.3399458972,2495,2218,20.0,14.0,564732.2394849113,91520.96827234412,0.14002365471977185,-8.528422090296061,-0.3351490970743539,,,,,,
VTA1,Patient14,693,1194,596899.2248062015,699063.2318501171,1161,1708,6.0,2.0,564732.2394849113,91520.96827234412,1.4677619227701946,-13.780021580475514,-1.551120778721669,,,,,,
VTA1,Patient15,613,1275,445494.18604651163,495530.5091333074,1376,2573,26.0,25.0,564732.2394849113,91520.96827234412,-0.7561297881560479,-4.3248291842008095,0.8063700957784147,1.0,1.0,1.0,1.0,1.0,
VTA1,Patient16,641,567,459498.20788530464,446105.4287962235,1395,1271,24.0,29.0,564732.2394849113,91520.96827234412,-1.2961708439937318,-1.4292255789477621,1.476827161639555,1.0,1.0,1.0,1.0,1.0,
VTA1,Patient17,503,645,515897.4358974359,525672.3716381418,975,1227,19.0,20.0,564732.2394849113,91520.96827234412,-0.4267859987072783,-5.952099611023489,0.4295868393441158,,,,,,
VTA1,Patient18,483,699,488866.39676113357,503965.39293439075,988,1387,22.0,21.0,564732.2394849113,91520.96827234412,-0.6639663860383691,-4.789969401089994,0.6986700830889071,1.0,1.0,1.0,1.0,1.0,
VTA1,Patient19,725,912,589910.4963384866,589147.2868217054,1229,1548,9.0,11.0,564732.2394849113,91520.96827234412,0.2667699850392847,-9.075328731991053,-0.4617815621070635,,,,,,
VTA1,Patient2,1009,937,790133.1245105717,863594.470046083,1277,1085,1.0,1.0,564732.2394849113,91520.96827234412,3.265505557937613,-19.592982201597195,-2.897071762804314,,,,,,
VTA1,Patient20,1110,862,587923.7288135594,495972.38204833143,1888,1738,11.0,23.0,564732.2394849113,91520.96827234412,-0.7513016823856943,-4.349392043087705,0.8006827350262063,1.0,1.0,1.0,1.0,1.0,
VTA1,Patient21,626,737,441778.4050811574,554969.8795180722,1417,1328,27.0,16.0,564732.2394849113,91520.96827234412,-0.10666801445750305,-7.4394770880740575,0.002183447678908416,,,,,,
VTA1,Patient22,754,1319,617526.6175266175,626305.7929724597,1221,2106,4.0,8.0,564732.2394849113,91520.96827234412,0.6727808353635472,-10.757443088056025,-0.851263552516336,,,,,,
VTA1,Patient23,127,581,190977.44360902256,501294.21915444353,665,1159,31.0,22.0,564732.2394849113,91520.96827234412,-0.6931528536902241,-4.643515673411066,0.732580434756486,,,,,,
VTA1,Patient24,548,804,517469.31067044387,484045.7555689343,1059,1661,18.0,27.0,564732.2394849113,91520.96827234412,-0.8816174636163558,-3.678611551516398,0.9559973365828272,1.0,1.0,1.0,1.0,1.0,
VTA1,Patient25,664,856,483965.0145772595,439876.67009249737,1372,1946,23.0,30.0,564732.2394849113,91520.96827234412,-1.3642291132767976,-1.0417368288041762,1.5665475121751615,1.0,1.0,1.0,1.0,1.0,
VTA1,Patient26,775,695,458579.88165680476,473110.9598366235,1690,1469,25.0,28.0,564732.2394849113,91520.96827234412,-1.0010960480186921,-3.048928542549131,1.1017960991789644,1.0,1.0,1.0,1.0,1.0,
VTA1,Patient27,476,847,519083.9694656489,588603.1966643502,917,1439,17.0,12.0,564732.2394849113,91520.96827234412,0.26082500688153504,-9.049917969325877,-0.45589787507653196,,,,,,
VTA1,Patient28,851,786,577732.5186693822,653910.1497504159,1473,1202,12.0,4.0,564732.2394849113,91520.96827234412,0.9743986755049713,-11.943653876123285,-1.1259224882275674,,,,,,
VTA1,Patient29,569,1270,545019.1570881226,683898.761443188,1044,1857,15.0,3.0,564732.2394849113,91520.96827234412,1.3020679764189784,-13.176858695408427,-1.411462568107209,,,,,,
VTA1,Patient3,999,1000,502767.99194765976,495294.7003467063,1987,2019,21.0,26.0,564732.2394849113,91520.96827234412,-0.7587063429177867,-4.311712066036951,0.8094072741203465,1.0,1.0,1.0,1.0,1.0,
VTA1,Patient30,705,1148,425211.09770808206,634955.7522123894,1658,1808,29.0,6.0,564732.2394849113,91520.96827234412,0.7672942501931358,-11.13468145396042,-0.9386104972002266,,,,,,
VTA1,Patient31,673,1178,696687.370600414,634015.0699677072,966,1858,2.0,7.0,564732.2394849113,91520.96827234412,0.7570159253191793,-11.093906682669763,-0.9291693798210735,,,,,,
VTA1,Patient4,920,891,592020.592020592,614482.7586206896,1554,1450,8.0,9.0,564732.2394849113,91520.96827234412,0.5435969491464827,-10.233306537400724,-0.7299033451918869,,,,,,
