Isoform,Sample,cyclo_count,noncyclo_count,total_cyclo,total_noncyclo,Cyclo_TPM,Noncyclo_TPM,Cyclo_TPM_Rank,Noncyclo_TPM_Rank,associated_gene,gene_cyclo_count,gene_noncyclo_count,isoform_cyclo_proportion,isoform_noncyclo_proportion,Avg_Cyclo_TPM,SD_Cyclo_TPM,Cyclo_Z_Score,test_statistic,z_score,rank_top_99_9_percentile,rank_top_99_5_percentile,rank_top_99_percentile,rank_top_98_percentile,rank_top_95_percentile,Phenotypes
PB.161541.3,Patient24,1,2,1059,1661,944.2870632672333,1204.0939193257075,24.0,26.0,novelGene_SRSF6_AS,2,11,0.5,0.18181818181818182,3477.6439671385456,3209.7600535560427,-0.7892667556456894,-45.23452159278976,-0.6861744660436252,,,,,,
PB.161541.3,Patient25,6,3,1372,1946,4373.1778425655975,1541.623843782117,9.0,23.0,novelGene_SRSF6_AS,9,6,0.6666666666666666,0.5,3477.6439671385456,3209.7600535560427,0.2790033711195652,-19.527747543881663,0.2381269410385732,,,,,,
PB.161541.3,Patient26,17,24,1690,1469,10059.171597633136,16337.644656228726,2.0,1.0,novelGene_SRSF6_AS,18,26,0.9444444444444444,0.9230769230769231,3477.6439671385456,3209.7600535560427,2.0504734063230114,-5.697225702020046,0.7191011061971339,,,,,,
PB.161541.3,Patient27,13,6,917,1439,14176.663031624863,4169.562195969423,1.0,13.0,novelGene_SRSF6_AS,21,11,0.6190476190476191,0.5454545454545454,3477.6439671385456,3209.7600535560427,3.333276907298115,5.697225702020044,1.1153577922543456,,,,,,
PB.161541.3,Patient28,1,3,1473,1202,678.8866259334691,2495.840266222962,25.0,17.0,novelGene_SRSF6_AS,1,5,1.0,0.6,3477.6439671385456,3209.7600535560427,-0.8719522003223815,-50.739679579622305,-0.8776234075266863,,,,,,
PB.161541.3,Patient29,4,4,1044,1857,3831.4176245210724,2154.0118470651587,12.0,20.0,novelGene_SRSF6_AS,13,8,0.3076923076923077,0.5,3477.6439671385456,3209.7600535560427,0.11021810087971734,-21.723431267418086,0.16176921875193376,,,,,,
PB.161541.3,Patient3,1,6,1987,2019,503.27126321087064,2971.7682020802376,27.0,16.0,novelGene_SRSF6_AS,1,7,1.0,0.8571428571428571,3477.6439671385456,3209.7600535560427,-0.9266651258346911,-55.73116138291467,-1.0512085998059926,,,,,,
PB.161541.3,Patient30,10,19,1658,1808,6031.363088057901,10508.849557522124,5.0,3.0,novelGene_SRSF6_AS,16,21,0.625,0.9047619047619048,3477.6439671385456,3209.7600535560427,0.7956105996428394,-14.190260370531886,0.4237449145756357,,,,,,
PB.161541.3,Patient31,3,18,966,1858,3105.590062111801,9687.83638320775,15.0,4.0,novelGene_SRSF6_AS,3,18,1.0,1.0,3477.6439671385456,3209.7600535560427,-0.11591330779213595,-25.210184332966534,0.040512901456643303,,,,,,
PB.161541.3,Patient4,9,3,1554,1450,5791.505791505791,2068.9655172413795,6.0,21.0,novelGene_SRSF6_AS,9,6,1.0,0.5,3477.6439671385456,3209.7600535560427,0.7208831145504957,-14.864027454745111,0.40031379863177385,,,,,,
PB.161541.3,Patient5,7,7,1993,1596,3512.2930255895635,4385.964912280701,13.0,11.0,novelGene_SRSF6_AS,9,7,0.7777777777777778,1.0,3477.6439671385456,3209.7600535560427,0.010794906121605816,-23.1671863520618,0.11156078088749022,,,,,,
PB.161541.3,Patient6,1,2,1714,1602,583.4305717619603,1248.4394506866417,26.0,25.0,novelGene_SRSF6_AS,1,2,1.0,1.0,3477.6439671385456,3209.7600535560427,-0.9016915118530844,-53.266861729102665,-0.9655094134524268,,,,,,
PB.161541.3,Patient7,2,1,1705,1726,1173.0205278592375,579.3742757821552,23.0,27.0,novelGene_SRSF6_AS,2,3,1.0,0.3333333333333333,3477.6439671385456,3209.7600535560427,-0.7180048978197145,-41.61465591169446,-0.5602889865325653,,,,,,
PB.161541.3,Patient8,4,5,1179,1359,3392.705682782019,3679.175864606328,14.0,14.0,novelGene_SRSF6_AS,5,6,0.8,0.8333333333333334,3477.6439671385456,3209.7600535560427,-0.026462502785036836,-23.742272437411575,0.0915614234548439,,,,,,
PB.161541.3,Patient9,8,0,1493,1722,5358.338914936369,0.0,7.0,30.0,novelGene_SRSF6_AS,11,2,0.7272727272727273,0.0,3477.6439671385456,3209.7600535560427,0.5859300746528486,-16.15471375221158,0.3554285244892929,,,,,,
PB.161541.4,Patient1,0,0,1902,1717,0.0,0.0,26.5,28.0,novelGene_SRSF6_AS,0,0,,,2179.1926445583586,3074.563223636673,-0.708781210874159,-133.11765949426444,-1.8292449695568829,,,,,,
PB.161541.4,Patient10,1,1,2180,1394,458.7155963302753,717.3601147776184,20.0,20.0,novelGene_SRSF6_AS,2,3,0.5,0.3333333333333333,2179.1926445583586,3074.563223636673,-0.5595842150850483,-46.34380668643163,-0.18455800637810837,,,,,,
PB.161541.4,Patient11,1,3,2226,1367,449.23629829290206,2194.5866861741038,21.0,6.0,novelGene_SRSF6_AS,5,6,0.2,0.5,2179.1926445583586,3074.563223636673,-0.5626673515658654,-46.638716199524396,-0.19014763753779906,,,,,,
PB.161541.4,Patient12,3,2,2004,1791,1497.005988023952,1116.6945840312674,13.0,15.0,novelGene_SRSF6_AS,4,2,0.75,1.0,2179.1926445583586,3074.563223636673,-0.22188083539472592,-29.263202410333324,0.16529952319084942,,,,,,
PB.161541.4,Patient13,2,1,2495,2218,801.6032064128257,450.8566275924256,17.0,24.0,novelGene_SRSF6_AS,3,2,0.6666666666666666,0.5,2179.1926445583586,3074.563223636673,-0.4480602082126268,-38.45634437678165,-0.035061285724553595,,,,,,
PB.161541.4,Patient14,4,0,1161,1708,3445.305770887166,0.0,6.0,28.0,novelGene_SRSF6_AS,9,6,0.4444444444444444,0.0,2179.1926445583586,3074.563223636673,0.41180259901476873,-17.613886835409357,0.386097342304206,,,,,3.0,
PB.161541.4,Patient15,4,2,1376,2573,2906.9767441860463,777.3027594247959,9.0,18.0,novelGene_SRSF6_AS,6,15,0.6666666666666666,0.13333333333333333,2179.1926445583586,3074.563223636673,0.23671137871962375,-19.988655887550102,0.34108664410153566,,,,,,
PB.161541.4,Patient16,0,1,1395,1271,0.0,786.7820613690008,26.5,17.0,novelGene_SRSF6_AS,3,3,0.0,0.3333333333333333,2179.1926445583586,3074.563223636673,-0.708781210874159,-133.11765949426444,-1.8292449695568829,,,,,,
PB.161541.4,Patient17,3,6,975,1227,3076.923076923077,4889.975550122249,8.0,3.0,novelGene_SRSF6_AS,9,14,0.3333333333333333,0.42857142857142855,2179.1926445583586,3074.563223636673,0.29198633011126046,-19.194516173261064,0.35613854271811757,,,,,,
PB.161541.4,Patient18,12,2,988,1387,12145.748987854251,1441.9610670511895,1.0,11.0,novelGene_SRSF6_AS,21,12,0.5714285714285714,0.16666666666666666,2179.1926445583586,3074.563223636673,3.24161697722618,4.626035324276575,0.8076265109945747,,,,,,
PB.161541.4,Patient19,0,1,1229,1548,0.0,645.9948320413437,26.5,21.0,novelGene_SRSF6_AS,6,22,0.0,0.045454545454545456,2179.1926445583586,3074.563223636673,-0.708781210874159,-133.11765949426444,-1.8292449695568829,,,,,,
PB.161541.4,Patient2,1,0,1277,1085,783.0853563038371,0.0,18.0,28.0,novelGene_SRSF6_AS,3,9,0.3333333333333333,0.0,2179.1926445583586,3074.563223636673,-0.4540831287909473,-38.78673972117278,-0.041323505253038094,,,,,,
PB.161541.4,Patient20,5,4,1888,1738,2648.3050847457625,2301.4959723820484,10.0,5.0,novelGene_SRSF6_AS,8,13,0.625,0.3076923076923077,2179.1926445583586,3074.563223636673,0.1525785635439058,-21.291217270007813,0.31639826557335604,,,,,,
PB.161541.4,Patient21,0,0,1417,1328,0.0,0.0,26.5,28.0,novelGene_SRSF6_AS,4,8,0.0,0.0,2179.1926445583586,3074.563223636673,-0.708781210874159,-133.11765949426444,-1.8292449695568829,,,,,,
PB.161541.4,Patient22,4,1,1221,2106,3276.0032760032764,474.8338081671415,7.0,23.0,novelGene_SRSF6_AS,9,6,0.4444444444444444,0.16666666666666666,2179.1926445583586,3074.563223636673,0.35673705553128354,-18.318206700203767,0.3727478636069706,,,,,,
PB.161541.4,Patient23,5,9,665,1159,7518.796992481202,7765.314926660914,4.0,1.0,novelGene_SRSF6_AS,7,14,0.7142857142857143,0.6428571428571429,2179.1926445583586,3074.563223636673,1.7367033817593842,-6.704659916121249,0.5928677312167114,,,,,,
PB.161541.4,Patient24,1,9,1059,1661,944.2870632672333,5418.4226369656835,15.0,2.0,novelGene_SRSF6_AS,2,11,0.5,0.8181818181818182,2179.1926445583586,3074.563223636673,-0.401652362129814,-35.700514666750784,0.04328853481757477,,,,,,
PB.161541.4,Patient25,3,3,1372,1946,2186.5889212827988,1541.623843782117,11.0,10.0,novelGene_SRSF6_AS,9,6,0.3333333333333333,0.5,2179.1926445583586,3074.563223636673,0.0024056349427388603,-23.968724706902023,0.2656495500008626,,,,,,
PB.161541.4,Patient26,1,2,1690,1469,591.7159763313609,1361.4703880190605,19.0,12.0,novelGene_SRSF6_AS,18,26,0.05555555555555555,0.07692307692307693,2179.1926445583586,3074.563223636673,-0.5163259145308091,-42.74712119678626,-0.11638745103150937,,,,,,
PB.161541.4,Patient27,8,5,917,1439,8724.100327153763,3474.6351633078525,2.0,4.0,novelGene_SRSF6_AS,21,11,0.38095238095238093,0.45454545454545453,2179.1926445583586,3074.563223636673,2.128727629433464,-4.626035324276577,0.6322653914211127,,,,,,
PB.161541.4,Patient28,0,2,1473,1202,0.0,1663.8935108153078,26.5,9.0,novelGene_SRSF6_AS,1,5,0.0,0.4,2179.1926445583586,3074.563223636673,-0.708781210874159,-133.11765949426444,-1.8292449695568829,,,,,,
PB.161541.4,Patient29,9,4,1044,1857,8620.689655172413,2154.0118470651587,3.0,7.0,novelGene_SRSF6_AS,13,8,0.6923076923076923,0.5,2179.1926445583586,3074.563223636673,2.095093365162576,-4.7927405513586985,0.6291057078896819,,,,,,
PB.161541.4,Patient3,0,1,1987,2019,0.0,495.2947003467063,26.5,22.0,novelGene_SRSF6_AS,1,7,0.0,0.14285714285714285,2179.1926445583586,3074.563223636673,-0.708781210874159,-133.11765949426444,-1.8292449695568829,,,,,,
PB.161541.4,Patient30,6,2,1658,1808,3618.8178528347407,1106.1946902654868,5.0,16.0,novelGene_SRSF6_AS,16,21,0.375,0.09523809523809523,2179.1926445583586,3074.563223636673,0.4682373083788976,-16.92708154080767,0.3991148548119783,,,,,,
PB.161541.4,Patient31,0,0,966,1858,0.0,0.0,26.5,28.0,novelGene_SRSF6_AS,3,18,0.0,0.0,2179.1926445583586,3074.563223636673,-0.708781210874159,-133.11765949426444,-1.8292449695568829,,,,,,
PB.161541.4,Patient4,0,3,1554,1450,0.0,2068.9655172413795,26.5,8.0,novelGene_SRSF6_AS,9,6,0.0,0.5,2179.1926445583586,3074.563223636673,-0.708781210874159,-133.11765949426444,-1.8292449695568829,,,,,,
PB.161541.4,Patient5,2,0,1993,1596,1003.5122930255895,0.0,14.0,28.0,novelGene_SRSF6_AS,9,7,0.2222222222222222,0.0,2179.1926445583586,3074.563223636673,-0.38238938867620487,-34.85084858030879,0.05939286452298727,,,,,,
PB.161541.4,Patient6,0,0,1714,1602,0.0,0.0,26.5,28.0,novelGene_SRSF6_AS,1,2,0.0,0.0,2179.1926445583586,3074.563223636673,-0.708781210874159,-133.11765949426444,-1.8292449695568829,,,,,,
PB.161541.4,Patient7,0,2,1705,1726,0.0,1158.7485515643104,26.5,14.0,novelGene_SRSF6_AS,2,3,0.0,0.6666666666666666,2179.1926445583586,3074.563223636673,-0.708781210874159,-133.11765949426444,-1.8292449695568829,,,,,,
PB.161541.4,Patient8,1,1,1179,1359,848.1764206955047,735.8351729212657,16.0,19.0,novelGene_SRSF6_AS,5,6,0.2,0.16666666666666666,2179.1926445583586,3074.563223636673,-0.43291229584425117,-37.51250002745769,-0.008227249093021036,,,,,,
PB.161541.4,Patient9,3,2,1493,1722,2009.3770931011384,1161.4401858304298,12.0,13.0,novelGene_SRSF6_AS,11,2,0.2727272727272727,1.0,2179.1926445583586,3074.563223636673,-0.055232414852200686,-25.14988758900835,0.24326212417233478,,,,,,
PB.161551.113,Patient1,1,0,1902,1717,525.7623554153522,0.0,19.0,18.0,SRSF6,191,95,0.005235602094240838,0.0,2381.5342112410713,4194.671877159058,-0.4424116856269066,-53.10513370891228,-0.1505380282588753,,,,,,
PB.161551.113,Patient10,2,0,2180,1394,917.4311926605506,0.0,17.0,18.0,SRSF6,345,248,0.005797101449275362,0.0,2381.5342112410713,4194.671877159058,-0.34903874759618136,-45.16799732659509,-0.011055969225070867,,,,,,
PB.161551.113,Patient11,0,0,2226,1367,0.0,0.0,25.5,18.0,SRSF6,1145,299,0.0,0.0,2381.5342112410713,4194.671877159058,-0.5677522058898258,-142.57892656790503,-1.722892118751772,,,,,,
PB.161551.113,Patient12,9,0,2004,1791,4491.017964071856,0.0,4.0,18.0,SRSF6,348,223,0.02586206896551724,0.0,2381.5342112410713,4194.671877159058,0.5028960106075051,-22.433642233194895,0.3950895296841454,,,,,,
PB.161551.113,Patient13,0,0,2495,2218,0.0,0.0,25.5,18.0,SRSF6,696,387,0.0,0.0,2381.5342112410713,4194.671877159058,-0.5677522058898258,-142.57892656790503,-1.722892118751772,,,,,,
PB.161551.113,Patient14,4,0,1161,1708,3445.305770887166,0.0,8.0,18.0,SRSF6,121,44,0.03305785123966942,0.0,2381.5342112410713,4194.671877159058,0.2536006607426371,-26.205356912980143,0.3288078754093721,,,,,,
PB.161551.113,Patient15,0,0,1376,2573,0.0,0.0,25.5,18.0,SRSF6,324,294,0.0,0.0,2381.5342112410713,4194.671877159058,-0.5677522058898258,-142.57892656790503,-1.722892118751772,,,,,,
PB.161551.113,Patient16,5,0,1395,1271,3584.2293906810037,0.0,6.0,18.0,SRSF6,93,54,0.053763440860215055,0.0,2381.5342112410713,4194.671877159058,0.28671972794555906,-25.6428773199584,0.3386925249882753,,,,,,
PB.161551.113,Patient17,0,0,975,1227,0.0,0.0,25.5,18.0,SRSF6,56,25,0.0,0.0,2381.5342112410713,4194.671877159058,-0.5677522058898258,-142.57892656790503,-1.722892118751772,,,,,,
PB.161551.113,Patient18,0,0,988,1387,0.0,0.0,25.5,18.0,SRSF6,157,82,0.0,0.0,2381.5342112410713,4194.671877159058,-0.5677522058898258,-142.57892656790503,-1.722892118751772,,,,,,
PB.161551.113,Patient19,5,0,1229,1548,4068.3482506102523,0.0,5.0,18.0,SRSF6,74,31,0.06756756756756757,0.0,2381.5342112410713,4194.671877159058,0.4021325359330886,-23.84012878431816,0.37037285219437877,,,,,,
PB.161551.113,Patient2,0,0,1277,1085,0.0,0.0,25.5,18.0,SRSF6,88,62,0.0,0.0,2381.5342112410713,4194.671877159058,-0.5677522058898258,-142.57892656790503,-1.722892118751772,,,,,,
PB.161551.113,Patient20,3,1,1888,1738,1588.9830508474577,575.3739930955121,13.0,4.0,SRSF6,54,81,0.05555555555555555,0.012345679012345678,2381.5342112410713,4194.671877159058,-0.18894234962911757,-37.215660065824125,0.13531998754007984,,,,,,
PB.161551.113,Patient21,0,0,1417,1328,0.0,0.0,25.5,18.0,SRSF6,334,122,0.0,0.0,2381.5342112410713,4194.671877159058,-0.5677522058898258,-142.57892656790503,-1.722892118751772,,,,,,
PB.161551.113,Patient22,0,0,1221,2106,0.0,0.0,25.5,18.0,SRSF6,58,43,0.0,0.0,2381.5342112410713,4194.671877159058,-0.5677522058898258,-142.57892656790503,-1.722892118751772,,,,,,
PB.161551.113,Patient23,1,0,665,1159,1503.7593984962407,0.0,14.0,18.0,SRSF6,27,18,0.037037037037037035,0.0,2381.5342112410713,4194.671877159058,-0.209259469739341,-37.9997570146001,0.12154077906622122,,,,,,
PB.161551.113,Patient24,1,0,1059,1661,944.2870632672333,0.0,16.0,18.0,SRSF6,27,41,0.037037037037037035,0.0,2381.5342112410713,4194.671877159058,-0.34263637063007846,-44.66391559525239,0.0022316362327954352,,,,,,
PB.161551.113,Patient25,0,0,1372,1946,0.0,0.0,25.5,18.0,SRSF6,341,346,0.0,0.0,2381.5342112410713,4194.671877159058,-0.5677522058898258,-142.57892656790503,-1.722892118751772,,,,,,
PB.161551.113,Patient26,0,0,1690,1469,0.0,0.0,25.5,18.0,SRSF6,668,201,0.0,0.0,2381.5342112410713,4194.671877159058,-0.5677522058898258,-142.57892656790503,-1.722892118751772,,,,,,
PB.161551.113,Patient27,2,0,917,1439,2181.0250817884407,0.0,12.0,18.0,SRSF6,92,45,0.021739130434782608,0.0,2381.5342112410713,4194.671877159058,-0.0478009091830158,-32.71051030810353,0.21449055160679692,,,,,,
PB.161551.113,Patient28,32,3,1473,1202,21724.37202987101,2495.840266222962,1.0,1.0,SRSF6,299,165,0.10702341137123746,0.01818181818181818,2381.5342112410713,4194.671877159058,4.611287458252954,14.167580530222164,1.0382955511366758,,,,,,
PB.161551.113,Patient29,1,0,1044,1857,957.8544061302681,0.0,15.0,18.0,SRSF6,61,35,0.01639344262295082,0.0,2381.5342112410713,4194.671877159058,-0.33940194770967985,-44.41381349767929,0.008824332992275431,,,,,,
PB.161551.113,Patient3,5,0,1987,2019,2516.356316054353,0.0,10.0,18.0,SRSF6,371,172,0.013477088948787063,0.0,2381.5342112410713,4194.671877159058,0.03214127558997376,-30.675829139630366,0.2502467116607193,,,,,,
PB.161551.113,Patient30,4,0,1658,1808,2412.5452352231605,0.0,11.0,18.0,SRSF6,496,127,0.008064516129032258,0.0,2381.5342112410713,4194.671877159058,0.007392955847381366,-31.27521414330058,0.23971351046083036,,,,,,
PB.161551.113,Patient31,0,0,966,1858,0.0,0.0,25.5,18.0,SRSF6,153,125,0.0,0.0,2381.5342112410713,4194.671877159058,-0.5677522058898258,-142.57892656790503,-1.722892118751772,,,,,,
PB.161551.113,Patient4,5,1,1554,1450,3217.5032175032175,689.655172413793,9.0,3.0,SRSF6,197,100,0.025380710659898477,0.01,2381.5342112410713,4194.671877159058,0.19929306290062582,-27.17869653919738,0.3117030395259375,,,,,,
PB.161551.113,Patient5,16,0,1993,1596,8028.098344204716,0.0,2.0,18.0,SRSF6,682,354,0.02346041055718475,0.0,2381.5342112410713,4194.671877159058,1.3461277302070924,-14.167580530222162,0.5403519078133358,,,,,,
PB.161551.113,Patient6,6,0,1714,1602,3500.583430571762,0.0,7.0,18.0,SRSF6,89,77,0.06741573033707865,0.0,2381.5342112410713,4194.671877159058,0.266778725989074,-25.978876711912896,0.33278789077683224,,,,,,
PB.161551.113,Patient7,1,0,1705,1726,586.5102639296188,0.0,18.0,18.0,SRSF6,375,262,0.0026666666666666666,0.0,2381.5342112410713,4194.671877159058,-0.4279295258076719,-51.546822458613946,-0.12315328250959061,,,,,,
PB.161551.113,Patient8,9,1,1179,1359,7633.587786259542,735.8351729212657,3.0,2.0,SRSF6,262,217,0.03435114503816794,0.004608294930875576,2381.5342112410713,4194.671877159058,1.2520773325840089,-14.884682358331776,0.5277500279030357,,,,,,
PB.161551.113,Patient9,0,0,1493,1722,0.0,0.0,25.5,18.0,SRSF6,7,3,0.0,0.0,2381.5342112410713,4194.671877159058,-0.5677522058898258,-142.57892656790503,-1.722892118751772,,,,,,
PB.161551.121,Patient1,1,0,1902,1717,525.7623554153522,0.0,11.0,16.0,SRSF6,191,95,0.005235602094240838,0.0,645.9347411521892,1441.444532216727,-0.08336941384211971,-3.825643211787312,1.7653091298998729,,,,,,
PB.161551.121,Patient10,2,0,2180,1394,917.4311926605506,0.0,5.0,16.0,SRSF6,345,248,0.005797101449275362,0.0,645.9347411521892,1441.444532216727,0.18835025936852404,-3.0236238191294795,1.921908049798648,,,,,,
PB.161551.121,Patient11,1,0,2226,1367,449.23629829290206,0.0,13.0,16.0,SRSF6,1145,299,0.0008733624454148472,0.0,645.9347411521892,1441.444532216727,-0.13645925213424218,-4.052113087866298,1.7210895782178988,,,,,,
PB.161551.121,Patient12,0,0,2004,1791,0.0,0.0,23.0,16.0,SRSF6,348,223,0.0,0.0,645.9347411521892,1441.444532216727,-0.44811626581207237,-12.866651649973214,0.0,,,,,,
PB.161551.121,Patient13,1,0,2495,2218,400.80160320641284,0.0,14.0,16.0,SRSF6,696,387,0.0014367816091954023,0.0,645.9347411521892,1441.444532216727,-0.17006074980131083,-4.216312139697899,1.6890287647255726,,,,,3.0,
PB.161551.121,Patient14,0,0,1161,1708,0.0,0.0,23.0,16.0,SRSF6,121,44,0.0,0.0,645.9347411521892,1441.444532216727,-0.44811626581207237,-12.866651649973214,0.0,,,,,,
PB.161551.121,Patient15,0,0,1376,2573,0.0,0.0,23.0,16.0,SRSF6,324,294,0.0,0.0,645.9347411521892,1441.444532216727,-0.44811626581207237,-12.866651649973214,0.0,,,,,,
PB.161551.121,Patient16,0,0,1395,1271,0.0,0.0,23.0,16.0,SRSF6,93,54,0.0,0.0,645.9347411521892,1441.444532216727,-0.44811626581207237,-12.866651649973214,0.0,,,,,,
PB.161551.121,Patient17,0,0,975,1227,0.0,0.0,23.0,16.0,SRSF6,56,25,0.0,0.0,645.9347411521892,1441.444532216727,-0.44811626581207237,-12.866651649973214,0.0,,,,,,
PB.161551.121,Patient18,3,0,988,1387,3036.4372469635628,0.0,2.0,16.0,SRSF6,157,82,0.01910828025477707,0.0,645.9347411521892,1441.444532216727,1.6584075574071078,-1.2980127621662612,2.258843577991184,1.0,1.0,1.0,1.0,1.0,
PB.161551.121,Patient19,0,0,1229,1548,0.0,0.0,23.0,16.0,SRSF6,74,31,0.0,0.0,645.9347411521892,1441.444532216727,-0.44811626581207237,-12.866651649973214,0.0,,,,,,
PB.161551.121,Patient2,0,0,1277,1085,0.0,0.0,23.0,16.0,SRSF6,88,62,0.0,0.0,645.9347411521892,1441.444532216727,-0.44811626581207237,-12.866651649973214,0.0,,,,,,
PB.161551.121,Patient20,0,0,1888,1738,0.0,0.0,23.0,16.0,SRSF6,54,81,0.0,0.0,645.9347411521892,1441.444532216727,-0.44811626581207237,-12.866651649973214,0.0,,,,,,
PB.161551.121,Patient21,0,0,1417,1328,0.0,0.0,23.0,16.0,SRSF6,334,122,0.0,0.0,645.9347411521892,1441.444532216727,-0.44811626581207237,-12.866651649973214,0.0,,,,,,
PB.161551.121,Patient22,0,0,1221,2106,0.0,0.0,23.0,16.0,SRSF6,58,43,0.0,0.0,645.9347411521892,1441.444532216727,-0.44811626581207237,-12.866651649973214,0.0,,,,,,
PB.161551.121,Patient23,1,0,665,1159,1503.7593984962407,0.0,4.0,16.0,SRSF6,27,18,0.037037037037037035,0.0,645.9347411521892,1441.444532216727,0.5951145799726646,-2.311334537691956,2.0609866470866054,,,,,3.0,
PB.161551.121,Patient24,0,0,1059,1661,0.0,0.0,23.0,16.0,SRSF6,27,41,0.0,0.0,645.9347411521892,1441.444532216727,-0.44811626581207237,-12.866651649973214,0.0,,,,,,
PB.161551.121,Patient25,1,0,1372,1946,728.862973760933,0.0,6.0,16.0,SRSF6,341,346,0.002932551319648094,0.0,645.9347411521892,1441.444532216727,0.05753133801216235,-3.3551698258380767,1.8571717765580968,,,,,,
